"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 24 16:44:49 IST 2021","Sun Jan 24 16:44:55 IST 2021","6608","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user checks for Printed Chiffon Dress","When user checks for Printed Chiffon Dress",""
"passed","Sun Jan 24 16:44:13 IST 2021","Sun Jan 24 16:44:27 IST 2021","13741","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","Given user on the login page","Given user on the login page",""
"passed","Sun Jan 24 16:45:36 IST 2021","Sun Jan 24 16:45:36 IST 2021","1","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","Hook","Hook",""
"passed","Sun Jan 24 16:44:35 IST 2021","Sun Jan 24 16:44:49 IST 2021","13789","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user fills form with details with Shruti and Sharma","When user fills form with details with Shruti and Sharma",""
"passed","Sun Jan 24 16:45:30 IST 2021","Sun Jan 24 16:45:36 IST 2021","5618","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","Then deatils of Shruti and Sharma should be matched","Then deatils of Shruti and Sharma should be matched",""
"passed","Sun Jan 24 16:44:34 IST 2021","Sun Jan 24 16:44:35 IST 2021","655","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user clicks on createaccount button","When user clicks on createaccount button",""
"passed","Sun Jan 24 16:45:27 IST 2021","Sun Jan 24 16:45:30 IST 2021","3603","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","Then Printed Chiffon Dress should match","Then Printed Chiffon Dress should match",""
"passed","Sun Jan 24 16:45:10 IST 2021","Sun Jan 24 16:45:27 IST 2021","17040","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user continue till payments","When user continue till payments",""
"passed","Sun Jan 24 16:44:27 IST 2021","Sun Jan 24 16:44:33 IST 2021","6244","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user clicks on signin button","When user clicks on signin button",""
"passed","Sun Jan 24 16:44:33 IST 2021","Sun Jan 24 16:44:34 IST 2021","916","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user enters ""valid email""","When user enters ""valid email""",""
"passed","Sun Jan 24 16:44:55 IST 2021","Sun Jan 24 16:44:56 IST 2021","711","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user adds Printed Chiffon Dress to cart","When user adds Printed Chiffon Dress to cart",""
"passed","Sun Jan 24 16:44:56 IST 2021","Sun Jan 24 16:45:10 IST 2021","13675","","The automation practice website: As a user, I can signin the website and do a checkout","","The automation practice website: As a user, I can signin the website and do a checkout","When user proceeds to checkout","When user proceeds to checkout",""
